English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
What shall we buy for Mary?,왓 쉘 위 바이 포 메리?,무엇을 / 살까 / 우리는 / 메리를 위해서,메리에게 뭘 사줄까?
How about a doll?,하우 어바웃 어 돌?,어때 / 인형은,인형 어때요?
Good idea.,굿 아이디어.,좋은 / 생각이야,좋은 생각이에요.
I'm sure she'll like it.,아임 슈어 쉴 라이크 잇.,나는 / 확신해 / 그녀가 / 좋아할 거라고,그녀도 좋아할 거예요.
What are you going to buy for your father?,왓 아 유 고잉 투 바이 포 유어 파더?,무엇을 / 사드릴 예정이니 / 너의 / 아버지께,아버지 선물로 뭘 살 거니?
I am going to buy a tie for him.,아이 엠 고잉 투 바이 어 타이 포 힘.,나는 / 살 예정이야 / 넥타이를 / 아버지께,넥타이를 살 예정이에요.
What are you going to buy for your grandfather?,왓 아 유 고잉 투 바이 포 유어 그랜드파더?,무엇을 / 사드릴 예정이니 / 너의 / 할아버지께,할아버지 선물로 뭘 살 예정이니?
Here's something for you.,히어즈 썸씽 포 유.,여기 / 있어 / 줄 게 / 너에게,여기 너 주려고 가져왔어.
I hope you like it.,아이 홉 유 라이크 잇.,바라 / 네가 / 맘에 들기를 / 그것이,네 마음에 들었으면 좋겠다.
Thank you.,땡큐.,고마워,고마워요.
I've always wanted this kind of doll.,아이브 올웨이즈 원티드 디스 카인드 오브 돌.,나는 / 항상 / 원했어 / 이런 종류의 / 인형을,이런 인형을 항상 갖고 싶었어.
I'm glad you like it.,아임 글래드 유 라이크 잇.,기뻐 / 네가 / 맘에 들어 해서 / 그것을,네가 마음에 들어 하니 기쁘다.
This watch is very nice.,디스 워치 이즈 베리 나이스.,이 / 시계는 / 매우 / 멋있어,이 시계 정말 멋지네요.
Don't you think so?,돈트 유 씽크 쏘우?,생각지 않니 / 너도 / 그렇게,당신도 그렇게 생각하지 않으세요?
"Yes, I think so, too.","예스, 아이 씽크 쏘우, 투.",응 / 나도 / 생각해 / 그렇게,"네, 저도 그렇게 생각해요."
This shirt is very nice.,디스 셔트 이즈 베리 나이스.,이 / 셔츠가 / 매우 / 멋있어,이 셔츠 정말 멋지네요.
You look great.,유 룩 그레이트.,너 / 멋있어 / 보인다,정말 멋져 보여요.
Thank you.,땡큐.,고마워,감사합니다.
So do you.,쏘우 두 유.,너도 / 그래,당신도요.
Your jacket looks good on you.,유어 재킷 룩스 굿 온 유.,너의 / 재킷이 / 잘 어울려 / 너에게,재킷이 정말 잘 어울리시네요.
Thank you.,땡큐.,고마워,감사합니다.
You look so beautiful in your dress.,유 룩 쏘우 뷰티풀 인 유어 드레스.,너 / 굉장히 아름다워 / 보인다 / 드레스를 입으니,드레스가 정말 잘 어울리고 아름다우시네요.
Thank you.,땡큐.,고마워,감사합니다.
What's the matter?,왓츠 더 매터?,무슨 / 일이니,무슨 일이야?
I'm sick.,아임 씩.,나는 / 아파,아파요.
I have a cold.,아이 해브 어 콜드.,나는 / 걸렸어 / 감기에,감기에 걸렸어요.
What's the matter?,왓츠 더 매터?,무슨 / 일이니,무슨 일이야?
I have a fever.,아이 해브 어 피버.,나는 / 있어 / 열이,열이 나요.
Try this every eight hours.,트라이 디스 에브리 에잇 아워즈.,먹어봐 / 이것을 / 8시간마다,이것을 8시간마다 드세요.
Try this every thirty minutes.,트라이 디스 에브리 써티 미닛츠.,먹어봐 / 이것을 / 30분마다,이것을 30분마다 드세요.
Take this medicine.,테이크 디스 메디신.,먹어라 / 이 / 약을,이 약을 드세요.
What's the matter with you?,왓츠 더 매터 위드 유?,무슨 / 일이니 / 너는,어디 아프세요?
I have a cold.,아이 해브 어 콜드.,나는 / 걸렸어 / 감기에,감기에 걸렸어요.
I'll miss you.,아일 미스 유.,나는 / 보고 싶을 거야 / 너가,네가 보고 싶을 거야.
"I'll miss you, too.","아일 미스 유, 투.",나도 / 보고 싶을 거야 / 너가,"나도 네가 보고 싶을 거야."
Come and visit me sometime.,컴 앤드 비짓 미 썸타임.,와서 / 방문해줘 / 나를 / 언젠가,언제 한번 우리 집에 놀러 와.
OK. That would be fun.,오케이. 댓 우드 비 펀.,좋아 / 그거 / 재미있겠구나,그래, 재미있겠다.
Say hello to your family.,세이 헬로우 투 유어 패밀리.,안부 전해줘 / 너의 / 가족에게,가족분들께 안부 전해 주세요.
Say hello to your parents.,세이 헬로우 투 유어 페어런츠.,안부 전해줘 / 너의 / 부모님께,부모님께 안부 전해 주세요.
Say hello to your sister.,세이 헬로우 투 유어 씨스터.,안부 전해줘 / 너의 / 여동생에게,여동생에게 안부 전해 줘.
OK. I will.,오케이. 아이 윌.,좋아 / 그럴게,알았어. 그럴게.
Good-bye.,굿 바이.,잘 있어,잘 가요.
Give my regards to your mother.,기브 마이 리가즈 투 유어 마더.,전해줘 / 안부를 / 너의 / 어머니께,어머님께 안부 전해 주세요.
OK. I will.,오케이. 아이 윌.,좋아 / 그럴게,알겠습니다. 그럴게요.
Good-bye.,굿 바이.,잘 있어,안녕히 가세요.
Let's keep in touch.,렛츠 킵 인 터치.,연락하고 / 지내자,연락하고 지내요.
OK. I'll call you soon.,오케이. 아일 콜 유 순.,좋아 / 내가 / 전화할게 / 곧,알았어. 곧 전화할게.
Put your pencil on the book.,풋 유어 펜슬 온 더 북.,놓아 / 너의 / 연필을 / 책 위에,연필을 책 위에 놓으세요.
Put your pencil under the book.,풋 유어 펜슬 언더 더 북.,놓아 / 너의 / 연필을 / 책 아래에,연필을 책 아래에 놓으세요.
Where is the book?,웨어 이즈 더 북?,어디에 / 있니 / 책이,책이 어디에 있나요?
It's under the desk.,잇츠 언더 더 데스크.,그것은 / 있어 / 책상 아래에,책상 아래에 있어요.
Where is the eraser?,웨어 이즈 디 이레이저?,어디에 / 있니 / 지우개가,지우개가 어디에 있나요?
Where is my spoon?,웨어 이즈 마이 스푼?,어디에 / 있니 / 나의 / 스푼이,내 숟가락 어디에 있지?
It's on the table.,잇츠 온 더 테이블.,그것은 / 있어 / 테이블 위에,테이블 위에 있어요.
Where is the pen?,웨어 이즈 더 펜?,어디에 / 있니 / 펜이,펜이 어디에 있나요?
There is a book on the desk.,데어 이즈 어 북 온 더 데스크.,있습니다 / 책이 / 책상 위에,책상 위에 책 한 권이 있습니다.
There are books on the desk.,데어 아 북스 온 더 데스크.,있습니다 / 책들이 / 책상 위에,책상 위에 책들이 있습니다.
Is there a book on the desk?,이즈 데어 어 북 온 더 데스크?,있습니까 / 책이 / 책상 위에,책상 위에 책이 있나요?
"Yes, there is.","예스, 데어 이즈.",예 / 있습니다,"네, 있어요."
"No, there is not.","노우, 데어 이즈 낫.",아니요 / 없습니다,"아니요, 없어요."
Is there a bag on the desk?,이즈 데어 어 백 온 더 데스크?,있습니까 / 가방이 / 책상 위에,책상 위에 가방이 있나요?
Is there a pencil on the desk?,이즈 데어 어 펜슬 온 더 데스크?,있습니까 / 연필이 / 책상 위에,책상 위에 연필이 있나요?
Is there a ball on the desk?,이즈 데어 어 볼 온 더 데스크?,있습니까 / 공이 / 책상 위에,책상 위에 공이 있나요?
There is some juice.,데어 이즈 썸 주스.,있어 / 주스가 / 좀,주스가 좀 있어요.
There is some cake.,데어 이즈 썸 케이크.,있어 / 케이크가 / 좀,케이크가 좀 있어요.
There is some ice cream.,데어 이즈 썸 아이스크림.,있어 / 아이스크림이 / 좀,아이스크림이 좀 있어요.
There are some cookies.,데어 아 썸 쿠키즈.,있어 / 쿠키가 / 좀,쿠키가 좀 있어요.
How much water is there?,하우 머치 워터 이즈 데어?,얼마나 / 있니 / 물이,물이 얼마나 있나요?
There is a little water.,데어 이즈 어 리를 워터.,있어 / 물이 / 조금,물이 조금 있어요.
How many apples are there?,하우 매니 애플즈 아 데어?,얼마나 많은 / 있니 / 사과가,사과가 몇 개 있나요?
There are a few apples.,데어 아 어 퓨 애플즈.,있어 / 사과가 / 몇 개,사과가 몇 개 있어요.
How many peaches are there?,하우 매니 피치즈 아 데어?,얼마나 많은 / 있니 / 복숭아가,복숭아가 몇 개 있나요?
How many pears are there?,하우 매니 페어즈 아 데어?,얼마나 많은 / 있니 / 배가,배가 몇 개 있나요?
What's that?,왓츠 댓?,무엇이니 / 저것은,저게 뭐예요?
It's a living room.,잇츠 어 리빙 룸.,그것은 / 거실이야,거실이에요.
It's a kitchen.,잇츠 어 키친.,그것은 / 부엌이야,주방이에요.
It's a bedroom.,잇츠 어 베드룸.,그것은 / 침실이야,침실이에요.
Where's the bathroom?,웨어즈 더 배쓰룸?,어디에 / 있어요 / 화장실이,화장실이 어디인가요?
"This way, please!","디스 웨이, 플리즈!",이쪽입니다,이쪽으로 오세요.
Where's the living room?,웨어즈 더 리빙 룸?,어디에 / 있어요 / 거실이,거실이 어디인가요?
Where's the bedroom?,웨어즈 더 베드룸?,어디에 / 있어요 / 침실이,침실이 어디인가요?
Where's the kitchen?,웨어즈 더 키친?,어디에 / 있어요 / 부엌이,주방이 어디인가요?
Where are you?,웨어 아 유?,어디에 / 있니 / 너는,어디 있어요?
I'm in the kitchen.,아임 인 더 키친.,나는 / 있어 / 부엌에,주방에 있어요.
I'm in the backyard.,아임 인 더 백야드.,나는 / 있어 / 뒷마당에,뒷마당에 있어요.
Where is he?,웨어 이즈 히?,어디에 / 있니 / 그는,그는 어디 있나요?
He's at home.,히즈 앳 홈.,그는 / 있어 / 집에,집에 있어요.
He's at school.,히즈 앳 스쿨.,그는 / 있어 / 학교에,학교에 있어요.
He's in the library.,히즈 인 더 라이브러리.,그는 / 있어 / 도서관에,도서관에 있어요.
He's at the park.,히즈 앳 더 파크.,그는 / 있어 / 공원에,공원에 있어요.
Where is he now?,웨어 이즈 히 나우?,어디에 / 있니 / 그는 / 지금,그는 지금 어디 있나요?
He is on the slide.,히 이즈 온 더 슬라이드.,그는 / 있어 / 미끄럼틀 위에,미끄럼틀 위에 있어요.
Where was he?,웨어 워즈 히?,어디에 / 있었니 / 그는,그는 어디 있었나요?
He was on the slide.,히 워즈 온 더 슬라이드.,그는 / 있었어 / 미끄럼틀 위에,미끄럼틀 위에 있었어요.
Where were you yesterday?,웨어 워 유 예스터데이?,어디에 / 있었니 / 너는 / 어제,어제 어디 있었어요?
I was at the swimming pool.,아이 워즈 앳 더 스위밍 풀.,나는 / 있었어 / 수영장에,수영장에 있었어요.
I was at the playground.,아이 워즈 앳 더 플레이그라운드.,나는 / 있었어 / 운동장에,놀이터에 있었어요.
I was at the zoo.,아이 워즈 앳 더 주.,나는 / 있었어 / 동물원에,동물원에 있었어요.
I was at the beach.,아이 워즈 앳 더 비치.,나는 / 있었어 / 바닷가에,해변에 있었어요.
How was it?,하우 워즈 잇?,어땠니 / 그것이,어땠어요?
It was great.,잇 워즈 그레이트.,정말 / 좋았어,정말 좋았어요.
Where's your classroom?,웨어즈 유어 클래스룸?,어디에 / 있니 / 너의 / 교실이,교실이 어디인가요?
It's on the second floor.,잇츠 온 더 쎄컨드 플로어.,그것은 / 있어 / 2층에,2층에 있어요.
It's on the fourth floor.,잇츠 온 더 포어쓰 플로어.,그것은 / 있어 / 4층에,4층에 있어요.
Where did you go?,웨어 디쥬 고우?,어디에 / 갔었니 / 너는,어디 갔었어요?
I went under a bridge and up a hill.,아이 웬트 언더 어 브리지 앤드 업 어 힐.,나는 / 갔어 / 다리 아래와 / 언덕 위에,다리 밑을 지나 언덕 위로 갔어요.
I went into the woods.,아이 웬트 인투 더 우즈.,나는 / 갔었어 / 숲 속으로,숲속으로 들어갔어요.
Where did you go?,웨어 디쥬 고우?,어디에 / 갔었니 / 너는,어디 갔었어요?
I went around a pond and over a bridge.,아이 웬트 어라운드 어 판드 앤드 오버 어 브리지.,나는 / 갔어 / 연못 주위와 / 다리 위에,연못 주위를 돌아 다리를 건너갔어요.
What a tall tower!,왓 어 톨 타워!,정말 높구나 / 타워가!,정말 높은 타워네요!
"Yes, it's very tall.","예스, 잇츠 베리 톨.",그래 / 그것은 / 정말 / 높아,"네, 정말 높네요."
What a beautiful bird!,왓 어 뷰티풀 버드!,정말 아름답구나 / 새가!,정말 아름다운 새네요!
Cheer up!,치어 업!,힘내!,기운 내세요!
Don't be so worried.,돈트 비 쏘우 워리드.,걱정하지마 / 너무,너무 걱정하지 마세요.
I'm OK.,아임 오케이.,나는 / 괜찮아,전 괜찮아요.
Thank you.,땡큐.,고마워,감사합니다.
I feel so happy.,아이 필 쏘우 해피.,나는 / 느껴 / 너무 / 행복하게,정말 행복해요.
What makes you so happy?,왓 메이크스 유 쏘우 해피?,무엇이 / 만드니 / 너를 / 그렇게 / 행복하게,무엇 때문에 그렇게 행복한가요?
I'm tired.,아임 타이어드.,나는 / 피곤해,피곤해요.
I'm bored.,아임 보어드.,나는 / 지루해,심심해요.
Can you do me a favor?,캔 유 두 미 어 페이버?,들어줄 수 있니 / 나를 / 부탁을,부탁 하나 들어주실 수 있나요?
Sure!,슈어!,그럼요!,그럼요!
What is it?,왓 이즈 잇?,무엇이니 / 그것이,뭔가요?
Will you help me?,윌 유 헬프 미?,도와줄래 / 나를,저 좀 도와주실래요?
No problem.,노우 프라블럼.,문제없어,문제없죠.
"Will you help me with my homework, please?","윌 유 헬프 미 위드 마이 홈워크, 플리즈?",도와줄래 / 나를 / 숙제를 / 제발,제 숙제 좀 도와주실 수 있나요?
Of course.,오브 코어스.,물론이지,물론이죠.
Will you help me with this math problem?,윌 유 헬프 미 위드 디스 매쓰 프라블럼?,도와줄래 / 나를 / 이 수학 문제를,이 수학 문제 푸는 것 좀 도와줄래?
Are you reading?,아 유 리딩?,읽고 있니 / 너는,책 읽고 있니?
Are you singing?,아 유 씽잉?,노래하고 있니 / 너는,노래 부르고 있니?
Are you eating?,아 유 이팅?,먹고 있니 / 너는,뭐 먹고 있니?
Are you playing soccer?,아 유 플레잉 싸커?,하고 있니 / 축구를 / 너는,축구 하고 있니?
"Yes, I am.","예스, 아이 엠.",응 / 그래,"네, 하고 있어요."
"No, I'm not.","노우, 아임 낫.",아니 / 그렇지 않아,"아니요, 안 하고 있어요."
Is he reading?,이즈 히 리딩?,읽고 있니 / 그는,그는 책 읽고 있나요?
Is he sleeping?,이즈 히 슬리핑?,자고 있니 / 그는,그는 자고 있나요?
Is he swimming?,이즈 히 스위밍?,수영하고 있니 / 그는,그는 수영하고 있나요?
"Yes, he is.","예스, 히 이즈.",응 / 그래,"네, 그래요."
"No, he is not.","노우, 히 이즈 낫.",아니 / 그렇지 않아,"아니요, 안 그래요."
What are you doing?,왓 아 유 두잉?,무엇을 / 하고 있니 / 너는,지금 뭐 하고 있어요?
I'm washing my hands.,아임 워슁 마이 핸즈.,나는 / 씻고 있어 / 나의 / 손을,손을 씻고 있어요.
What's she doing?,왓츠 쉬 두잉?,무엇을 / 하고 있니 / 그녀는,그녀는 뭐 하고 있나요?
She is dancing and singing.,쉬 이즈 댄싱 앤드 씽잉.,그녀는 / 춤추고 / 노래하고 있어,그녀는 춤추며 노래하고 있어요.
What did you do yesterday?,왓 디쥬 두 예스터데이?,무엇을 / 했니 / 너는 / 어제,어제 뭐 했어요?
I went to the zoo.,아이 웬트 투 더 주.,나는 / 갔었어 / 동물원에,동물원에 갔었어요.
I did my homework.,아이 디드 마이 홈워크.,나는 / 했어 / 숙제를,숙제를 했어요.
I went to the museum yesterday.,아이 웬트 투 더 뮤지엄 예스터데이.,나는 / 갔었어 / 박물관에 / 어제,어제 박물관에 갔었어요.
Museum?,뮤지엄?,박물관?,박물관요?
What did you see there?,왓 디쥬 씨 데어?,무엇을 / 봤니 / 거기서,거기서 뭘 봤나요?
I saw an elephant.,아이 쏘 언 엘리펀트.,나는 / 보았어 / 코끼리를,코끼리를 봤어요.
How was your vacation?,하우 워즈 유어 베이케이션?,어땠니 / 너의 / 방학이,방학 어땠어요?
It was great.,잇 워즈 그레이트.,정말 / 좋았어,정말 좋았어요.
I visited my grandparents in Seoul.,아이 비지티드 마이 그랜드페어런츠 인 서울.,나는 / 방문했어 / 할아버지 할머니를 / 서울에 계신,서울에 계신 조부모님 댁에 다녀왔어요.
I had a great time.,아이 해드 어 그레이트 타임.,나는 / 보냈어 / 정말 재미있게,즐거운 시간 보냈어요.
How was your vacation?,하우 워즈 유어 베이케이션?,어땠니 / 너의 / 방학이,방학 어땠나요?
It was not fun.,잇 워즈 낫 펀.,재미 없었어,재미없었어요.
Why not?,와이 낫?,왜?,왜요?
I was sick.,아이 워즈 씩.,나는 / 아팠어,아팠거든요.
"Oh, that's too bad.","오, 댓츠 투 배드.",오 / 그것 참 / 안됐구나,"오, 안됐네요."
How was your weekend?,하우 워즈 유어 위켄드?,어땠니 / 너의 / 주말이,주말 어땠어요?
It was fun.,잇 워즈 펀.,재미 있었어,재미있었어요.
Did you have a nice vacation?,디쥬 해브 어 나이스 베이케이션?,보냈니 / 즐거운 / 방학을 / 너는,방학 즐겁게 보냈니?
"Yes, I did.","예스, 아이 디드.",응 / 그래,"네, 그랬어요."
What did you do?,왓 디쥬 두?,무엇을 / 했니 / 너는,뭐 했니?
I visited my cousin in Seoul.,아이 비지티드 마이 커즌 인 서울.,나는 / 방문했어 / 사촌을 / 서울에 있는,서울에 있는 사촌 집에 다녀왔어.
What did you do last vacation?,왓 디쥬 두 라스트 베이케이션?,무엇을 / 했니 / 너는 / 지난 방학에,지난 방학 때 뭐 했니?
I visited my friend in Canada.,아이 비지티드 마이 프렌드 인 캐나다.,나는 / 방문했어 / 친구를 / 캐나다에 있는,캐나다에 있는 친구를 만나러 갔어.
I had a great time.,아이 해드 어 그레이트 타임.,나는 / 보냈어 / 즐거운 시간을,즐거운 시간 보냈어.
What did you do?,왓 디쥬 두?,무엇을 / 했니 / 너는,뭐 했니?
I helped old people.,아이 헬프트 올드 피플.,나는 / 도와 드렸어 / 노인들을,어르신들을 도와드렸어.
Good job.,굿 잡.,잘 했구나,잘했어!
What did you see?,왓 디쥬 씨?,무엇을 / 보았니 / 너는,뭘 봤니?
I saw a black car.,아이 쏘 어 블랙 카.,나는 / 보았어 / 검정색 / 차를,검은색 차를 봤어.
What are you going to do this summer?,왓 아 유 고잉 투 두 디스 써머?,무엇을 / 할 거니 / 너는 / 이번 여름에,이번 여름에 뭐 할 거니?
I'm going to go to the beach.,아임 고잉 투 고우 투 더 비치.,나는 / 갈 거야 / 해변에,해변에 갈 거야.
What are you going to do this Saturday?,왓 아 유 고잉 투 두 디스 쌔터데이?,무엇을 / 할 거니 / 너는 / 이번 토요일에,이번 주 토요일에 뭐 할 거니?
What will you do this summer?,왓 윌 유 두 디스 써머?,무엇을 / 할 거니 / 너는 / 이번 여름에,이번 여름에 뭐 할 거야?
I will visit my uncle.,아이 윌 비짓 마이 엉클.,나는 / 방문할 거야 / 삼촌을,삼촌 댁에 방문할 거야.
I can't wait.,아이 캔트 웨잇.,나는 / 너무 / 기다려져,정말 기대돼요!
Have you made any special plans for this year?,해브 유 메이드 애니 스페셜 플랜즈 포 디스 이어?,세웠니 / 너는 / 어떤 / 특별한 / 계획을 / 올해,올해 특별한 계획이라도 세웠니?
"Yes, I have.","예스, 아이 해브.",응 / 그래,"네, 세웠어요."
I'm planning to exercise regularly.,아임 플래닝 투 엑서사이즈 레귤러리.,나는 / 계획이야 / 운동할 / 규칙적으로,규칙적으로 운동할 계획이에요.
I'm planning to take computer lessons.,아임 플래닝 투 테이크 컴퓨터 레슨즈.,나는 / 계획이야 / 받을 / 컴퓨터 수업을,컴퓨터 수업을 들을 계획이에요.
That's a good idea.,댓츠 어 굿 아이디어.,그거 / 좋은 / 생각이야,좋은 생각이에요.
Excuse me.,익스큐즈 미.,실례합니다,실례합니다.
Is this Seoul Station?,이즈 디스 서울 스테이션?,이곳이 / 서울역입니까,여기가 서울역인가요?
"Sorry, I don't know.","쏘리, 아이 돈트 노우.",미안합니다 / 모르겠습니다,"죄송합니다, 잘 모르겠어요."
Is there a subway station around here?,이즈 데어 어 써브웨이 스테이션 어라운드 히어?,있습니까 / 지하철역이 / 이 근처에,이 근처에 지하철역이 있나요?
"Sorry, I'm a stranger here, too.","쏘리, 아임 어 스트레인저 히어, 투.",미안합니다 / 나도 / 여기가 / 처음인데요,"죄송합니다, 저도 여기가 처음이라서요."
Is there a post office?,이즈 데어 어 포우스트 오피스?,있습니까 / 우체국이,우체국이 있나요?
Is there a fire station?,이즈 데어 어 파이어 스테이션?,있습니까 / 소방서가,소방서가 있나요?
Is there a library?,이즈 데어 어 라이브러리?,있습니까 / 도서관이,도서관이 있나요?
Where's the post office?,웨어즈 더 포우스트 오피스?,어디에 / 있어요 / 우체국이,우체국이 어디인가요?
I'm sorry?,아임 쏘리?,뭐라고요?,다시 말씀해 주시겠어요?
"The post office, please.","더 포우스트 오피스, 플리즈.",우체국이요,"우체국 위치 좀 알려주세요."
Where's the gas station?,웨어즈 더 개스 스테이션?,어디에 / 있어요 / 주유소가,주유소가 어디인가요?
Where's the school?,웨어즈 더 스쿨?,어디에 / 있어요 / 학교가,학교가 어디인가요?
Where's the church?,웨어즈 더 처치?,어디에 / 있어요 / 교회가,교회가 어디인가요?
"Oh, it's over there.","오, 잇츠 오버 데어.",아 / 그것은 / 저쪽에 / 있어요,"아, 저기 있네요."
Where is the hospital?,웨어 이즈 더 하스피털?,어디에 / 있습니까 / 병원이,병원이 어디에 있나요?
Go straight and turn left at the corner.,고우 스트레이트 앤드 턴 레프트 앳 더 코너.,가세요 / 똑바로 / 그리고 / 도세요 / 왼쪽으로 / 모퉁이에서,직진하다가 모퉁이에서 왼쪽으로 도세요.
Where's the post office?,웨어즈 더 포우스트 오피스?,어디에 / 있어요 / 우체국이,우체국이 어디인가요?
Go straight and turn right at the corner.,고우 스트레이트 앤드 턴 라이트 앳 더 코너.,가세요 / 똑바로 / 그리고 / 도세요 / 오른쪽으로 / 모퉁이에서,직진하다가 모퉁이에서 오른쪽으로 도세요.
You can't miss it.,유 캔트 미스 잇.,쉽게 / 찾을 수 있을 거에요,금방 찾으실 수 있을 거예요.
Thank you. No problem.,땡큐. 노우 프라블럼.,고마워요 / 천만에요,감사합니다. 천만에요.
Where is the bank?,웨어 이즈 더 뱅크?,어디에 / 있습니까 / 은행이,은행이 어디에 있나요?
It's behind the hospital.,잇츠 비하인드 더 하스피털.,그것은 / 있어요 / 병원 뒤에,병원 뒤에 있어요.
How do I get to the library?,하우 두 아이 겟 투 더 라이브러리?,어떻게 / 가니 / 도서관에,도서관에 어떻게 가나요?
By bus.,바이 버스.,버스로,버스를 타고 가세요.
Excuse me.,익스큐즈 미.,실례합니다,실례합니다.
How do I get to the police station?,하우 두 아이 겟 투 더 펄리스 스테이션?,어떻게 / 갑니까 / 경찰서에,경찰서에 어떻게 가나요?
Turn right.,턴 라이트.,도세요 / 오른쪽으로,오른쪽으로 도세요.
Then go straight ahead.,덴 고우 스트레이트 어헤드.,그리고 나서 / 가세요 / 앞으로 / 똑바로,그다음 똑바로 가세요.
Excuse me.,익스큐즈 미.,실례합니다,실례합니다.
Could you show me the way to the hospital?,쿠쥬 쇼우 미 더 웨이 투 더 하스피털?,알려 주시겠어요 / 나에게 / 길을 / 병원에 가는,병원 가는 길 좀 알려주시겠어요?
Sure. Go straight and turn left at the first block.,슈어. 고우 스트레이트 앤드 턴 레프트 앳 더 퍼스트 블락.,그럼요 / 가세요 / 똑바로 / 도세요 / 왼쪽으로 / 첫 번째 블록에서,그럼요. 직진하다가 첫 번째 블록에서 왼쪽으로 도세요.
You can't miss it.,유 캔트 미스 잇.,쉽게 / 찾을 수 있을 거에요,금방 찾으실 수 있을 거예요.
How long does it take to get to school?,하우 롱 더즈 잇 테이크 투 겟 투 스쿨?,얼마나 / 걸립니까 / 가는데 / 학교에,학교까지 얼마나 걸리나요?
It takes about ten minutes.,잇 테이크스 어바웃 텐 미닛츠.,걸립니다 / 약 / 10분,10분 정도 걸려요.
How far is it from here to your school?,하우 파 이즈 잇 프롬 히어 투 유어 스쿨?,얼마나 / 머니 / 여기서 / 너의 / 학교까지,여기서 학교까지 얼마나 먼가요?
It takes about ten minutes on foot.,잇 테이크스 어바웃 텐 미닛츠 온 풋.,걸려 / 약 / 10분 / 걸어서,걸어서 10분 정도 걸려요.
How about taking some pictures?,하우 어바웃 테이킹 썸 픽처즈?,어때 / 찍는 게 / 사진 몇 장,사진 좀 찍는 게 어때요?
Why not?,와이 낫?,좋지,좋죠!
Why don't we take some pictures?,와이 돈트 위 테이크 썸 픽처즈?,찍는 게 어때 / 우리 / 사진 몇 장,우리 사진 찍지 않을래요?
Why not?,와이 낫?,좋지,좋아요!
Why don't we play soccer?,와이 돈트 위 플레이 싸커?,하는 게 어때 / 우리 / 축구를,우리 축구 하지 않을래?
That's a good idea.,댓츠 어 굿 아이디어.,그거 / 좋은 / 생각이야,좋은 생각이야.
"No, I don't want to.","노우, 아이 돈트 원트 투.",아니 / 그러고 / 싶지 않아,"아니, 별로 안 하고 싶어."
I'd like to go swimming.,아이드 라이크 투 고우 스위밍.,나는 / 가고 싶어 / 수영하러,수영하러 가고 싶어요.
Can I join with you?,캔 아이 조인 위드 유?,같이 / 가도 될까 / 너와,나도 같이 가도 될까?
Sure.,슈어.,그럼,그럼!
Why not?,와이 낫?,좋고말고,좋지!
I'd like to take a trip.,아이드 라이크 투 테이크 어 트립.,나는 / 가고 싶어 / 여행을,여행 가고 싶어요.
What do you want to do?,왓 두 유 원트 투 두?,무엇을 / 하기를 원하니 / 너는,뭐 하고 싶어?
Let's sing.,렛츠 씽.,노래하자,노래 부르자.
I don't want to sing.,아이 돈트 원트 투 씽.,나는 / 원하지 않아 / 노래하는 것을,노래 부르기 싫어.
I want to dance.,아이 원트 투 댄스.,나는 / 원해 / 춤추는 것을,춤추고 싶어.
Let's listen to music.,렛츠 리슨 투 뮤직.,듣자 / 음악을,음악 듣자.
Do you want to play the piano?,두 유 원트 투 플레이 더 피애노우?,원하니 / 너는 / 연주하는 것을 / 피아노를,피아노 치고 싶니?
"Yes, I do.","예스, 아이 두.",응 / 그래,"응, 치고 싶어."
That sounds good.,댓 사운즈 굿.,좋은 / 생각이야,그거 좋네.
Do you want to climb a mountain?,두 유 원트 투 클라임 어 마운틴?,원하니 / 너는 / 오르는 것을 / 산을,등산하고 싶니?
What do you want to be in the future?,왓 두 유 원트 투 비 인 더 퓨처?,무엇이 / 되고 싶니 / 너는 / 미래에,나중에 커서 뭐가 되고 싶어?
I want to be a scientist.,아이 원트 투 비 어 사이언티스트.,나는 / 원해 / 되는 것을 / 과학자가,과학자가 되고 싶어요.
Why?,와이?,왜?,왜요?
I want to invent new things.,아이 원트 투 인벤트 뉴 씽즈.,나는 / 원해 / 발명하는 것을 / 새로운 / 것들을,새로운 것들을 발명하고 싶거든요.
I want to be a tour guide.,아이 원트 투 비 어 투어 가이드.,나는 / 원해 / 되는 것을 / 여행 가이드가,여행 가이드가 되고 싶어요.
I want to be a movie star.,아이 원트 투 비 어 무비 스타.,나는 / 원해 / 되는 것을 / 영화 배우가,영화배우가 되고 싶어요.
What do you like to do?,왓 두 유 라이크 투 두?,무엇을 / 좋아하니 / 하는 것을 / 너는,평소에 뭐 하는 걸 좋아하니?
I like to go swimming.,아이 라이크 투 고우 스위밍.,나는 / 좋아해 / 가는 것을 / 수영하러,수영하러 가는 걸 좋아해요.
I like to play computer games.,아이 라이크 투 플레이 컴퓨터 게임즈.,나는 / 좋아해 / 하는 것을 / 컴퓨터 게임을,컴퓨터 게임 하는 걸 좋아해요.
What do you like doing on weekends?,왓 두 유 라이크 두잉 온 위켄즈?,무엇을 / 좋아하니 / 하는 것을 / 주말에,주말에 뭐 하는 걸 좋아하니?
I enjoy riding a bike.,아이 인조이 라이딩 어 바이크.,나는 / 즐겨 / 타는 것을 / 자전거를,자전거 타는 걸 즐겨요.
