English Sentence,Korean Pronounce,Direct Comprehension
What did you see?,왓 디쥬 씨?,무엇을 / 보았니 / 너는
I saw a black car.,아이 쏘 어 블랙 카.,나는 / 보았어 / 검정색 / 차를
What are you going to do this summer?,왓 아 유 고잉 투 두 디스 써머?,무엇을 / 할 거니 / 너는 / 이번 여름에
I'm going to go to the beach.,아임 고잉 투 고우 투 더 비치.,나는 / 갈 거야 / 해변에
What are you going to do this Saturday?,왓 아 유 고잉 투 두 디스 쌔터데이?,무엇을 / 할 거니 / 너는 / 이번 토요일에
What will you do this summer?,왓 윌 유 두 디스 써머?,무엇을 / 할 거니 / 너는 / 이번 여름에
I will visit my uncle.,아이 윌 비짓 마이 엉클.,나는 / 방문할 거야 / 삼촌을
I can't wait.,아이 캔트 웨잇.,나는 / 너무 / 기다려져
Have you made any special plans for this year?,해브 유 메이드 애니 스페셜 플랜즈 포 디스 이어?,세웠니 / 너는 / 어떤 / 특별한 / 계획을 / 올해
"Yes, I have.","예스, 아이 해브.",응 / 그래
I'm planning to exercise regularly.,아임 플래닝 투 엑서사이즈 레귤러리.,나는 / 계획이야 / 운동할 / 규칙적으로
I'm planning to take computer lessons.,아임 플래닝 투 테이크 컴퓨터 레슨즈.,나는 / 계획이야 / 받을 / 컴퓨터 수업을
That's a good idea.,댓츠 어 굿 아이디어.,그거 / 좋은 / 생각이야
Excuse me.,익스큐즈 미.,실례합니다
Is this Seoul Station?,이즈 디스 서울 스테이션?,이곳이 / 서울역입니까
"Sorry, I don't know.","쏘리, 아이 돈트 노우.",미안합니다 / 모르겠습니다
Is there a subway station around here?,이즈 데어 어 써브웨이 스테이션 어라운드 히어?,있습니까 / 지하철역이 / 이 근처에
"Sorry, I'm a stranger here, too.","쏘리, 아임 어 스트레인저 히어, 투.",미안합니다 / 나도 / 여기가 / 처음인데요
Is there a post office?,이즈 데어 어 포우스트 오피스?,있습니까 / 우체국이
Is there a fire station?,이즈 데어 어 파이어 스테이션?,있습니까 / 소방서가
Is there a library?,이즈 데어 어 라이브러리?,있습니까 / 도서관이
Where's the post office?,웨어즈 더 포우스트 오피스?,어디에 / 있어요 / 우체국이
I'm sorry?,아임 쏘리?,뭐라고요?
"The post office, please.","더 포우스트 오피스, 플리즈.",우체국이요
Where's the gas station?,웨어즈 더 개스 스테이션?,어디에 / 있어요 / 주유소가
Where's the school?,웨어즈 더 스쿨?,어디에 / 있어요 / 학교가
Where's the church?,웨어즈 더 처치?,어디에 / 있어요 / 교회가
"Oh, it's over there.","오, 잇츠 오버 데어.",아 / 그것은 / 저쪽에 / 있어요
Where is the hospital?,웨어 이즈 더 하스피털?,어디에 / 있습니까 / 병원이
Go straight and turn left at the corner.,고우 스트레이트 앤드 턴 레프트 앳 더 코너.,가세요 / 똑바로 / 그리고 / 도세요 / 왼쪽으로 / 모퉁이에서
Where's the post office?,웨어즈 더 포우스트 오피스?,어디에 / 있어요 / 우체국이
Go straight and turn right at the corner.,고우 스트레이트 앤드 턴 라이트 앳 더 코너.,가세요 / 똑바로 / 그리고 / 도세요 / 오른쪽으로 / 모퉁이에서
You can't miss it.,유 캔트 미스 잇.,쉽게 / 찾을 수 있을 거에요
Thank you. No problem.,땡큐. 노우 프라블럼.,고마워요 / 천만에요
Where is the bank?,웨어 이즈 더 뱅크?,어디에 / 있습니까 / 은행이
It's behind the hospital.,잇츠 비하인드 더 하스피털.,그것은 / 있어요 / 병원 뒤에
How do I get to the library?,하우 두 아이 겟 투 더 라이브러리?,어떻게 / 가니 / 도서관에
By bus.,바이 버스.,버스로
Excuse me.,익스큐즈 미.,실례합니다
How do I get to the police station?,하우 두 아이 겟 투 더 펄리스 스테이션?,어떻게 / 갑니까 / 경찰서에
Turn right.,턴 라이트.,도세요 / 오른쪽으로
Then go straight ahead.,덴 고우 스트레이트 어헤드.,그리고 나서 / 가세요 / 앞으로 / 똑바로
Excuse me.,익스큐즈 미.,실례합니다
Could you show me the way to the hospital?,쿠쥬 쇼우 미 더 웨이 투 더 하스피털?,알려 주시겠어요 / 나에게 / 길을 / 병원에 가는
Sure. Go straight and turn left at the first block.,슈어. 고우 스트레이트 앤드 턴 레프트 앳 더 퍼스트 블락.,그럼요 / 가세요 / 똑바로 / 도세요 / 왼쪽으로 / 첫 번째 블록에서
You can't miss it.,유 캔트 미스 잇.,쉽게 / 찾을 수 있을 거에요
How long does it take to get to school?,하우 롱 더즈 잇 테이크 투 겟 투 스쿨?,얼마나 / 걸립니까 / 가는데 / 학교에
It takes about ten minutes.,잇 테이크스 어바웃 텐 미닛츠.,걸립니다 / 약 / 10분
How far is it from here to your school?,하우 파 이즈 잇 프롬 히어 투 유어 스쿨?,얼마나 / 머니 / 여기서 / 너의 / 학교까지
It takes about ten minutes on foot.,잇 테이크스 어바웃 텐 미닛츠 온 풋.,걸려 / 약 / 10분 / 걸어서
How about taking some pictures?,하우 어바웃 테이킹 썸 픽처즈?,어때 / 찍는 게 / 사진 몇 장
Why not?,와이 낫?,좋지
Why don't we take some pictures?,와이 돈트 위 테이크 썸 픽처즈?,찍는 게 어때 / 우리 / 사진 몇 장
Why not?,와이 낫?,좋지
Why don't we play soccer?,와이 돈트 위 플레이 싸커?,하는 게 어때 / 우리 / 축구를
That's a good idea.,댓츠 어 굿 아이디어.,그거 / 좋은 / 생각이야
"No, I don't want to.","노우, 아이 돈트 원트 투.",아니 / 그러고 / 싶지 않아
I'd like to go swimming.,아이드 라이크 투 고우 스위밍.,나는 / 가고 싶어 / 수영하러
Can I join with you?,캔 아이 조인 위드 유?,같이 / 가도 될까 / 너와
Sure.,슈어.,그럼
Why not?,와이 낫?,좋고말고
I'd like to take a trip.,아이드 라이크 투 테이크 어 트립.,나는 / 가고 싶어 / 여행을
What do you want to do?,왓 두 유 원트 투 두?,무엇을 / 하기를 원하니 / 너는
Let's sing.,렛츠 씽.,노래하자
I don't want to sing.,아이 돈트 원트 투 씽.,나는 / 원하지 않아 / 노래하는 것을
I want to dance.,아이 원트 투 댄스.,나는 / 원해 / 춤추는 것을
Let's listen to music.,렛츠 리슨 투 뮤직.,듣자 / 음악을
Do you want to play the piano?,두 유 원트 투 플레이 더 피애노우?,원하니 / 너는 / 연주하는 것을 / 피아노를
"Yes, I do.","예스, 아이 두.",응 / 그래
That sounds good.,댓 사운즈 굿.,좋은 / 생각이야
Do you want to climb a mountain?,두 유 원트 투 클라임 어 마운틴?,원하니 / 너는 / 오르는 것을 / 산을
What do you want to be in the future?,왓 두 유 원트 투 비 인 더 퓨처?,무엇이 / 되고 싶니 / 너는 / 미래에
I want to be a scientist.,아이 원트 투 비 어 사이언티스트.,나는 / 원해 / 되는 것을 / 과학자가
Why?,와이?,왜?
I want to invent new things.,아이 원트 투 인벤트 뉴 씽즈.,나는 / 원해 / 발명하는 것을 / 새로운 / 것들을
I want to be a tour guide.,아이 원트 투 비 어 투어 가이드.,나는 / 원해 / 되는 것을 / 여행 가이드가
I want to be a movie star.,아이 원트 투 비 어 무비 스타.,나는 / 원해 / 되는 것을 / 영화 배우가
What do you like to do?,왓 두 유 라이크 투 두?,무엇을 / 좋아하니 / 하는 것을 / 너는
I like to go swimming.,아이 라이크 투 고우 스위밍.,나는 / 좋아해 / 가는 것을 / 수영하러
I like to play computer games.,아이 라이크 투 플레이 컴퓨터 게임즈.,나는 / 좋아해 / 하는 것을 / 컴퓨터 게임을
What do you like doing on weekends?,왓 두 유 라이크 두잉 온 위켄즈?,무엇을 / 좋아하니 / 하는 것을 / 주말에
I enjoy riding a bike.,아이 인조이 라이딩 어 바이크.,나는 / 즐겨 / 타는 것을 / 자전거를
I enjoy going camping.,아이 인조이 고잉 캠핑.,나는 / 즐겨 / 가는 것을 / 캠핑을
I prefer watching sports on TV.,아이 프리퍼 워칭 스포츠 온 티비.,나는 / 더 좋아해 / 보는 것을 / 스포츠를 / TV로
Do you like to watch sports on TV?,두 유 라이크 투 워치 스포츠 온 티비?,좋아하니 / 너는 / 보는 것을 / 스포츠를 / TV로
"Yes, I do.","예스, 아이 두.",응 / 그래
May I see that movie?,메이 아이 씨 댓 무비?,봐도 돼요 / 저 / 영화를
"No, you shouldn't do that.","노우, 유 슈든트 두 댓.",아니 / 그러면 / 안돼
May I take a picture here?,메이 아이 테이크 어 픽처 히어?,찍어도 돼요 / 사진을 / 여기서
You should use your napkin.,유 슈드 유즈 유어 냅킨.,너는 / 사용해야 해 / 너의 / 냅킨을
That's a good idea.,댓츠 어 굿 아이디어.,그거 / 좋은 / 생각이야
You must be careful on the street.,유 머스트 비 케어풀 온 더 스트리트.,너는 / 조심해야 해 / 길에서
"Oh, I got it.","오, 아이 갓 잇.",아 / 알았어
What do you have to do?,왓 두 유 해브 투 두?,무엇을 / 해야 하니 / 너는
I have to wash the dishes.,아이 해브 투 워쉬 더 디쉬즈.,나는 / 씻어야 해 / 그릇을
I have to sweep the floor.,아이 해브 투 스윕 더 플로어.,나는 / 쓸어야 해 / 마루바닥을
What time do you go to bed?,왓 타임 두 유 고우 투 베드?,몇 시에 / 잠자리에 드니 / 너는
I go to bed at ten o'clock.,아이 고우 투 베드 앳 텐 어클락.,나는 / 잠자리에 들어 / 10시에
What about you?,왓 어바웃 유?,너는 / 어때
At nine thirty.,앳 나인 써티.,9시 30분에
What do you do in the morning?,왓 두 유 두 인 더 모어닝?,무엇을 / 하니 / 너는 / 아침에
I get dressed.,아이 겟 드레스드.,나는 / 입어 / 옷을
What do you do in the evening?,왓 두 유 두 인 디 이브닝?,무엇을 / 하니 / 너는 / 저녁에
I talk on the telephone.,아이 톡 온 더 텔리폰.,나는 / 얘기해 / 전화로
I play the piano.,아이 플레이 더 피애노우.,나는 / 연주해 / 피아노를
I take out the trash.,아이 테이크 아웃 더 트래쉬.,나는 / 비워 / 쓰레기통을
What do you do after school?,왓 두 유 두 애프터 스쿨?,무엇을 / 하니 / 너는 / 방과 후에
I usually play basketball.,아이 유주얼리 플레이 배스킷볼.,나는 / 보통 / 해 / 농구를
I usually go to the library.,아이 유주얼리 고우 투 더 라이브러리.,나는 / 보통 / 가 / 도서관에
I usually practice the piano.,아이 유주얼리 프랙티스 더 피애노우.,나는 / 보통 / 연습해 / 피아노를
I usually help my mom.,아이 유주얼리 헬프 마이 맘.,나는 / 보통 / 도와 / 어머니를
Nothing special.,낫씽 스페셜.,특별한 / 일 / 없어
What do you do on Sunday?,왓 두 유 두 온 썬데이?,무엇을 / 하니 / 너는 / 일요일에
I go to church.,아이 고우 투 처치.,나는 / 가 / 교회에
I go to a swimming class.,아이 고우 투 어 스위밍 클래스.,나는 / 가 / 수영교실에
I go to a computer class.,아이 고우 투 어 컴퓨터 클래스.,나는 / 가 / 컴퓨터교실에
That's my sister.,댓츠 마이 씨스터.,저 애가 / 나의 / 여동생이야
That's my girlfriend.,댓츠 마이 걸프렌드.,저 애가 / 나의 / 여자친구야
"What? Oh, she's tall.","왓? 오, 쉬즈 톨.",뭐라고 / 야 / 키가 / 크다
"Yes, she is.","예스, 쉬 이즈.",응 / 그래
Where is your sister?,웨어 이즈 유어 씨스터?,어디에 / 있니 / 너의 / 여동생은
Over there.,오버 데어.,저쪽에
She is wearing a blue shirt.,쉬 이즈 웨어링 어 블루 셔트.,그녀는 / 입고 있어 / 파란 / 셔츠를
How does he look like?,하우 더즈 히 룩 라이크?,어떻게 / 생겼니 / 그는
He has big eyes.,히 해즈 빅 아이즈.,그는 / 가지고 있어 / 큰 / 눈을
He is tall and thin.,히 이즈 톨 앤드 씬.,그는 / 키 크고 / 날씬해
He is wearing blue pants.,히 이즈 웨어링 블루 팬츠.,그는 / 입고 있어 / 파란색 / 바지를
He is wearing sunglasses.,히 이즈 웨어링 썬글래시즈.,그는 / 쓰고 있어 / 선글라스를
He is wearing a hat.,히 이즈 웨어링 어 햇.,그는 / 쓰고 있어 / 모자를
What does she look like?,왓 더즈 쉬 룩 라이크?,어떻게 / 생겼니 / 그녀는
She has red hair and green eyes.,쉬 해즈 레드 헤어 앤드 그린 아이즈.,그녀는 / 가지고 있어 / 빨간 머리와 / 녹색 눈을
She is tall and thin.,쉬 이즈 톨 앤드 씬.,그녀는 / 키 크고 / 날씬해
She is wearing blue pants.,쉬 이즈 웨어링 블루 팬츠.,그녀는 / 입고 있어 / 파란색 / 바지를
How does it look?,하우 더즈 잇 룩?,어때 / 보이니 / 그것이
It looks beautiful.,잇 룩스 뷰티풀.,아름다워 / 보여
What's he wearing?,왓츠 히 웨어링?,무엇을 / 입고 있니 / 그는
He's wearing a blue shirt.,히즈 웨어링 어 블루 셔트.,그는 / 입고 있어 / 파란 / 셔츠를
Which one is Brian's cousin?,위치 원 이즈 브라이언스 커즌?,어느 쪽이 / 브라이언의 / 사촌이니
His cousin is the girl with curly red hair.,히즈 커즌 이즈 더 걸 위드 컬리 레드 헤어.,그의 / 사촌은 / 이야 / 여자 아이 / 빨간 곱슬머리를 한
Which one is Joseph's brother?,위치 원 이즈 죠셉스 브라더?,어느 쪽이 / 죠셉의 / 남동생이니
He's the boy who is playing soccer.,히즈 더 보이 후 이즈 플레잉 싸커.,그는 / 이야 / 아이 / 축구를 하고 있는
I want two tickets for the concert.,아이 원트 투 티켓츠 포 더 컨서트.,나는 / 원해요 / 표 두 장을 / 콘서트
For what time?,포 왓 타임?,몇 시로요?
"The three o'clock show, please.","더 쓰리 어클락 쇼우, 플리즈.",3시 / 표로 / 주세요
Those tickets are all sold out.,도우즈 티켓츠 아 올 솔드 아웃.,그 / 표들은 / 다 / 팔렸습니다
Do you usually walk slowly or quickly?,두 유 유주얼리 워크 슬로울리 오어 퀵클리?,걷니 / 너는 / 보통 / 천천히 / 아니면 / 빨리
I usually walk slowly.,아이 유주얼리 워크 슬로울리.,나는 / 보통 / 걸어 / 천천히
What do you think of my new jacket?,왓 두 유 씽크 오브 마이 뉴 재킷?,어떻게 / 생각하니 / 나의 / 새 / 재킷에 대해
It's very nice.,잇츠 베리 나이스.,정말 / 좋은데
Do you think the movie is fun?,두 유 씽크 더 무비 이즈 펀?,생각하니 / 너는 / 영화가 / 흥미롭다고
"Yes, I think so.","예스, 아이 씽크 쏘우.",응 / 그렇게 / 생각해
"No, I don't think so.","노우, 아이 돈트 씽크 쏘우.",아니 / 그렇게 / 생각지 않아
What do you think of the movie?,왓 두 유 씽크 오브 더 무비?,어떻게 / 생각하니 / 그 / 영화에 대해서
The movie is fun.,더 무비 이즈 펀.,그 / 영화는 / 흥미로워
What do you think of the concert?,왓 두 유 씽크 오브 더 컨서트?,어떻게 / 생각하니 / 그 / 연주회에 대해서
What do you think of the book?,왓 두 유 씽크 오브 더 북?,어떻게 / 생각하니 / 그 / 책에 대해서
What do you think is fun?,왓 두 유 씽크 이즈 펀?,무엇이 / 흥미롭다고 / 생각하니 / 너는
I think watching movie is fun.,아이 씽크 워칭 무비 이즈 펀.,나는 / 생각해 / 보는 것이 / 영화를 / 흥미롭다고
I think riding a bicycle is fun.,아이 씽크 라이딩 어 바이씨클 이즈 펀.,나는 / 생각해 / 타는 것이 / 자전거를 / 흥미롭다고
How do you like this painting?,하우 두 유 라이크 디스 페인팅?,어때 / 마음에 드니 / 이 / 그림이
I've never seen such a wonderful painting.,아이브 네버 씬 써치 어 원더풀 페인팅.,나는 / 본 적이 없어 / 그렇게 / 아름다운 / 그림을
I've never tasted such a delicious food.,아이브 네버 테이스티드 써치 어 딜리셔스 푸드.,나는 / 맛 본 적이 없어 / 그렇게 / 맛있는 / 음식을
I've never listened to such a lovely music.,아이브 네버 리슨드 투 써치 어 러블리 뮤직.,나는 / 들어본 적이 없어 / 그렇게 / 아름다운 / 음악을
What did you say about it?,왓 디쥬 세이 어바웃 잇?,무엇이라고 / 말했니 / 그것에 대해서
I said it was really funny.,아이 쎄드 잇 워즈 리얼리 퍼니.,나는 / 말했어 / 그것이 / 정말 / 재미있었다고
I said it was really boring.,아이 쎄드 잇 워즈 리얼리 보어링.,나는 / 말했어 / 그것이 / 정말 / 지루하다고
"May I take your order, please?","메이 아이 테이크 유어 오더, 플리즈?",주문하시겠습니까
"I'd like a hamburger and a large coke, please.","아이드 라이크 어 햄버거 앤드 어 라지 코우크, 플리즈.",주세요 / 햄버거와 / 콜라 큰 것으로 / 하나
Lunch is on me.,런치 이즈 온 미.,점심은 / 내가 / 살게
Dinner is on me.,디너 이즈 온 미.,저녁은 / 내가 / 살게
"I appreciate it, but let's go Dutch.","아이 어프리시에이트 잇, 벗 렛츠 고우 더치.",고마워 / 하지만 / 각자 / 내자
How would you like your steak?,하우 우쥬 라이크 유어 스테이크?,어떻게 / 해 드릴까요 / 너의 / 스테이크를
"Medium, please.","미디엄, 플리즈.",중간으로 / 익혀 / 주세요
Do you want some more steak?,두 유 원트 썸 모어 스테이크?,원하니 / 너는 / 좀 더 / 스테이크를
"Yes, please. Thank you.","예스, 플리즈. 땡큐.",예 / 주세요 / 고맙습니다
"No, thank you. I'm full.","노우, 땡큐. 아임 풀.",아니요 / 됐습니다 / 나는 / 배불러요
Do you want a fork?,두 유 원트 어 포크?,원하니 / 너는 / 포크를
"Yes, please. Thank you.","예스, 플리즈. 땡큐.",예 / 주세요 / 고맙습니다
"No, thank you.","노우, 땡큐.",아니요 / 됐습니다
Do you want a knife?,두 유 원트 어 나이프?,원하니 / 너는 / 나이프를
Do you want a spoon?,두 유 원트 어 스푼?,원하니 / 너는 / 스푼을
"Do you like apples, Miran?","두 유 라이크 애플즈, 미란?",좋아하니 / 너는 / 사과를 / 미란
"Yes, I do.","예스, 아이 두.",응 / 그래
How about bananas?,하우 어바웃 버내너즈?,어때 / 바나나는
"No, I don't like them.","노우, 아이 돈트 라이크 뎀.",아니 / 나는 / 좋아하지 않아 / 그것들을
How about cake?,하우 어바웃 케이크?,어때 / 케이크는
How about cookies?,하우 어바웃 쿠키즈?,어때 / 과자는
"Hello, this is Mary.","헬로우, 디스 이즈 메리.",여보세요 / 저는 / 이에요 / 매리
Is Joseph there?,이즈 죠셉 데어?,있어요 / 죠셉이 / 거기에
"Speaking. / No, he isn't.","스피킹. / 노우, 히 이즌트.",전데요 / 아니요 / 없는데요
Can I talk to Joseph?,캔 아이 톡 투 죠셉?,통화 할 수 있을까요 / 죠셉과
Speaking.,스피킹.,전데요
"Who's calling, please?","후즈 콜링, 플리즈?",누구시죠
"Hello, this is Mary.","헬로우, 디스 이즈 메리.",여보세요 / 저 / 매리인데요
Is Joseph there?,이즈 죠셉 데어?,있어요 / 죠셉이 / 거기에
You have the wrong number.,유 해브 더 롱 넘버.,잘못 / 걸었어요
"Oh, I'm sorry.","오, 아임 쏘리.",오 / 미안합니다
Can I talk to Joseph?,캔 아이 톡 투 죠셉?,통화 할 수 있을까요 / 죠셉과
Can I talk to Sarah?,캔 아이 톡 투 새롸?,통화 할 수 있을까요 / 사라와
"Sorry, she's out.","쏘리, 쉬즈 아웃.",미안합니다 / 그녀는 / 외출 중이에요
Can I take a message?,캔 아이 테이크 어 메시지?,전할 내용 / 있으세요
"Yes, please tell him Mary called.","예스, 플리즈 텔 힘 메리 콜드.",예 / 전해 주세요 / 그에게 / 매리가 / 전화했다고
Shall we meet at the park at three?,쉘 위 밋 앳 더 파크 앳 쓰리?,만날까요 / 우리 / 공원에서 / 3시에
OK. See you there.,오케이. 씨 유 데어.,좋아 / 거기서 / 봐
"Sorry, I can't.","쏘리, 아이 캔트.",미안해 / 안되겠어
What time shall we meet?,왓 타임 쉘 위 밋?,몇 시에 / 만날까요 / 우리
What time is good for you?,왓 타임 이즈 굿 포 유?,몇 시가 / 좋겠니 / 너에게
Anytime after three.,애니타임 애프터 쓰리.,언제라도 / 3시 이후에
Can you tell him to call me?,캔 유 텔 힘 투 콜 미?,말해줄 수 있니 / 그에게 / 전화 해달라고 / 나에게
"Sure, I will.","슈어, 아이 윌.",알겠어요 / 그럴게요
Bye.,바이.,안녕히 계세요
When do you expect him back?,웬 두 유 익스펙트 힘 백?,언제 / 돌아올 것 같습니까 / 그가
He will be back soon.,히 윌 비 백 순.,그는 / 돌아올 거예요 / 곧
He will be back in a few minutes.,히 윌 비 백 인 어 퓨 미닛츠.,그는 / 돌아올 거에요 / 몇 분 안에
May I take a message?,메이 아이 테이크 어 메시지?,전할 내용 / 있으세요
"Yes, please tell him to call me back.","예스, 플리즈 텔 힘 투 콜 미 백.",예 / 전해 주세요 / 그에게 / 다시 전화 해 달라고 / 나에게
"No, it's O.K.","노우, 잇츠 오케이.",아니오 / 괜찮아요
I will call him later.,아이 윌 콜 힘 레이터.,내가 / 전화할게요 / 그에게 / 나중에
May I leave a message?,메이 아이 리브 어 메시지?,남길 수 있을까요 / 전할 내용을
"Sure, who is calling?","슈어, 후 이즈 콜링?",그럼요 / 누구시죠
When do you expect him back?,웬 두 유 익스펙트 힘 백?,언제 / 돌아올 것 같습니까 / 그가
He will be back in about an hour.,히 윌 비 백 인 어바웃 언 아워.,그는 / 돌아올 것입니다 / 약 / 한 시간 내에
He will be back in ten minutes.,히 윌 비 백 인 텐 미닛츠.,그는 / 돌아올 것입니다 / 10분 내로
Do you know how?,두 유 노우 하우?,알고 있니 / 너는 / 어떻게 하는지
"Yes, I do. / No, I don't.","예스, 아이 두. / 노우, 아이 돈트.",응 / 그래 / 아니 / 그렇지 않아
Do you know where?,두 유 노우 웨어?,알고 있니 / 너는 / 어디인지
Could you tell me how to use this copy machine?,쿠쥬 텔 미 하우 투 유즈 디스 카피 머신?,알려 주실래요 / 나에게 / 어떻게 / 사용하는지 / 이 복사기를
Sure.,슈어.,물론이죠
"First, turn on the copy machine.","퍼스트, 턴 온 더 카피 머신.",먼저 / 켜세요 / 복사기를
"Next, open the cover.","넥스트, 오픈 더 커버.",다음에 / 여세요 / 덮개를
And put the paper on the glass.,앤드 풋 더 페이퍼 온 더 글래스.,그리고 / 놓으세요 / 종이를 / 유리 위에
"Then, press the green button.","덴, 프레스 더 그린 버튼.",그리고 나서 / 누르세요 / 녹색 / 버튼을
That's all. Did you get it?,댓츠 올. 디쥬 겟 잇?,그게 / 전부입니다 / 이해하셨죠
What kind of music do you like?,왓 카인드 오브 뮤직 두 유 라이크?,어떤 / 종류의 / 음악을 / 좋아하니 / 너는
I like classical music.,아이 라이크 클래시컬 뮤직.,나는 / 좋아해 / 고전음악을
What kinds of hobbies do you like most?,왓 카인즈 오브 하비즈 두 유 라이크 모우스트?,무슨 / 취미를 / 가장 좋아하니 / 너는
I like traveling most.,아이 라이크 트래블링 모우스트.,나는 / 좋아해 / 여행하는 것을 / 가장
I like dancing most.,아이 라이크 댄싱 모우스트.,나는 / 좋아해 / 춤추는 것을 / 가장
I like singing most.,아이 라이크 씽잉 모우스트.,나는 / 좋아해 / 노래하는 것을 / 가장
Do you like spring?,두 유 라이크 스프링?,좋아하니 / 너는 / 봄을
"Yes, I do. I like spring. It's warm.","예스, 아이 두. 아이 라이크 스프링. 잇츠 워엄.",응 / 그래 / 나는 / 좋아해 / 봄을 / 따뜻해
"How about you? Me, too.","하우 어바웃 유? 미, 투.",너는 / 어때 / 나도 / 그래
Do you like summer?,두 유 라이크 써머?,좋아하니 / 너는 / 여름을
"No, I don't like summer.","노우, 아이 돈트 라이크 써머.",아니 / 나는 / 좋아하지 않아 / 여름을
It's hot.,잇츠 핫.,더워
Which season do you like best?,위치 씨즌 두 유 라이크 베스트?,어느 / 계절을 / 가장 좋아하니 / 너는
I like summer best.,아이 라이크 써머 베스트.,나는 / 좋아해 / 여름을 / 가장
"Which season do you like better, summer or winter?","위치 씨즌 두 유 라이크 베터, 써머 오어 윈터?",어느 / 계절을 / 더 좋아하니 / 여름 / 아니면 / 겨울
I like winter better.,아이 라이크 윈터 베터.,나는 / 좋아해 / 겨울을 / 더
Why do you like winter best?,와이 두 유 라이크 윈터 베스트?,왜 / 좋아하니 / 너는 / 겨울을 / 가장
I like winter best because I like snow.,아이 라이크 윈터 베스트 비코즈 아이 라이크 스노우.,나는 / 좋아해 / 겨울을 / 가장 / 왜냐하면 / 좋아하기 때문에 / 눈을
I like spring best because I like flowers.,아이 라이크 스프링 베스트 비코즈 아이 라이크 플라워즈.,나는 / 좋아해 / 봄을 / 가장 / 왜냐하면 / 좋아하기 때문에 / 꽃을
What's your favorite music?,왓츠 유어 페이버릿 뮤직?,무엇이니 / 너의 / 가장 좋아하는 / 음악은
My favorite music is pop music.,마이 페이버릿 뮤직 이즈 팝 뮤직.,나의 / 가장 좋아하는 / 음악은 / 이야 / 팝음악
I like pop music.,아이 라이크 팝 뮤직.,나는 / 좋아해 / 팝음악을
What is your favorite animal?,왓 이즈 유어 페이버릿 애니멀?,무엇이니 / 너의 / 가장 좋아하는 / 동물은
My favorite animal is a rabbit.,마이 페이버릿 애니멀 이즈 어 래빗.,나의 / 가장 좋아하는 / 동물은 / 이야 / 토끼
Who is your favorite musician?,후 이즈 유어 페이버릿 뮤지션?,누구니 / 너의 / 가장 좋아하는 / 음악가는
My favorite musician is Mozart.,마이 페이버릿 뮤지션 이즈 모우짜트.,나의 / 가장 좋아하는 / 음악가는 / 이야 / 모차르트
"It's very cold in here, isn't it?","잇츠 베리 콜드 인 히어, 이즌트 잇?",매우 / 춥다 / 여기 안이 / 그렇지 않니
"Yes, it is.","예스, 잇 이즈.",응 / 그래
Would you mind closing the window?,우쥬 마인드 클로징 더 윈도우?,괜찮겠니 / 창문을 / 닫아주지 않겠니
"No, not at all.","노우, 낫 앳 올.",그렇고 / 말고
May I help you?,메이 아이 헬프 유?,도와 드릴까요
"Yes, how much is that pencil case?","예스, 하우 머치 이즈 댓 펜슬 케이스?",예 / 얼마에요 / 저 / 필통은
It's seven dollars.,잇츠 쎄븐 달러즈.,7달러인데요
It's ten dollars.,잇츠 텐 달러즈.,10달러인데요
How much is it?,하우 머치 이즈 잇?,얼마에요
It's three dollars.,잇츠 쓰리 달러즈.,3달러에요
OK. I'll take it.,오케이. 아일 테이크 잇.,좋아요 / 그것으로 / 할게요
Thanks. Here's your change.,땡크스. 히어즈 유어 체인지.,고맙습니다 / 여기 / 있어요 / 거스름 돈
Wow! You're very tall.,와우! 유어 베리 톨.,야 / 너는 / 정말 / 키가 크다
How tall are you?,하우 톨 아 유?,키가 / 몇이니 / 너는
I'm one hundred and eighty centimeters tall.,아임 원 헌드레드 앤드 에이티 쎈티미터즈 톨.,나는 / 180cm / 이야
I'm taller than my father.,아임 톨러 댄 마이 파더.,나는 / 키가 더 커 / 아버지보다
My mother loves my brother more than me.,마이 마더 러브스 마이 브라더 모어 댄 미.,나의 / 어머니는 / 사랑해 / 내 남동생을 / 나보다 / 더
My mother loves my sister more than me.,마이 마더 러브스 마이 씨스터 모어 댄 미.,나의 / 어머니는 / 사랑해 / 내 여동생을 / 나보다 / 더
My father loves my brother more than me.,마이 파더 러브스 마이 브라더 모어 댄 미.,나의 / 아버지는 / 사랑해 / 내 남동생을 / 나보다 / 더
That's not fair.,댓츠 낫 페어.,그건 / 공평하지 않아
Take it easy.,테이크 잇 이지.,진정해
That's not true.,댓츠 낫 트루.,그렇지 않아
Who is younger?,후 이즈 영거?,누가 / 더 어리니
Joseph is younger.,죠셉 이즈 영거.,죠셉이 / 더 어려
Who is stronger?,후 이즈 스트롱거?,누가 / 더 세니
Who is taller?,후 이즈 톨러?,누가 / 더 키가 크니
Who is shorter?,후 이즈 쇼터?,누가 / 더 키가 작니
When is your birthday?,웬 이즈 유어 버얼쓰데이?,언제니 / 너의 / 생일이
September tenth. I'm older than you.,쎕템버 텐쓰. 아임 올더 댄 유.,9월 / 10일 / 나는 / 나이가 더 많아 / 너보다
Is this your pencil?,이즈 디스 유어 펜슬?,이것이 / 너의 / 연필이니
"No, my pencil is shorter than yours.","노우, 마이 펜슬 이즈 쇼터 댄 유어즈.",아니 / 내 / 연필이 / 더 짧아 / 네 것보다
